# g4beamline profile
#Z N meanX sigmaX meanY sigmaY emitX emitY emitTrans betaX betaY betaTrans alphaX alphaY alphaTrans meanP
#mm - mm mm mm mm mm-rad mm-rad mm-rad mm mm mm - - - MeV/c
3263.1 9509 -49.620 89.509 2.378 74.083 2.969 1.221 1.903 2139 1465 1802 -0.9025 0.5607 -0.1709 71.36
3273.1 9485 -49.943 89.539 2.323 73.731 2.962 1.222 1.902 2140 1451 1796 -0.9607 0.5956 -0.1825 71.32
3283.1 9469 -50.410 89.695 2.272 73.381 2.957 1.222 1.901 2147 1437 1792 -1.018 0.6268 -0.1954 71.28
3293.1 9448 -50.771 89.757 2.262 73.027 2.947 1.224 1.899 2151 1424 1788 -1.065 0.6543 -0.2055 71.24
3303.1 9435 -51.292 89.967 2.240 72.644 2.94 1.224 1.897 2162 1410 1786 -1.114 0.6768 -0.2186 71.21
3313.1 9414 -51.719 90.163 2.192 72.201 2.93 1.225 1.894 2174 1394 1784 -1.156 0.6947 -0.2304 71.17
3323.1 9399 -52.209 90.375 2.199 71.807 2.921 1.225 1.892 2186 1380 1783 -1.195 0.7092 -0.243 71.15
3333.1 9380 -52.621 90.536 2.155 71.399 2.909 1.226 1.888 2196 1366 1781 -1.226 0.7203 -0.2531 71.12
3343.1 9359 -53.069 90.725 2.174 70.973 2.896 1.226 1.884 2209 1352 1780 -1.254 0.7287 -0.2624 71.08
3353.1 9341 -53.525 90.957 2.136 70.534 2.884 1.226 1.88 2223 1337 1780 -1.279 0.7329 -0.2731 71.04
3363.1 9315 -53.868 91.065 2.064 70.092 2.866 1.226 1.875 2234 1323 1779 -1.294 0.7352 -0.2796 70.99
3373.1 9293 -54.209 91.201 2.034 69.695 2.85 1.227 1.87 2244 1311 1778 -1.308 0.7351 -0.2866 70.95
3383.1 9278 -54.742 91.535 2.072 69.221 2.841 1.227 1.867 2264 1295 1780 -1.328 0.7315 -0.2984 70.92
3393.1 9278 -55.488 91.982 2.053 68.847 2.835 1.227 1.865 2288 1282 1785 -1.351 0.7278 -0.3118 70.92
3403.1 9278 -56.234 92.435 2.033 68.474 2.831 1.228 1.864 2312 1269 1791 -1.373 0.7232 -0.325 70.92
3413.1 9278 -56.981 92.894 2.014 68.101 2.826 1.228 1.863 2337 1256 1796 -1.395 0.7181 -0.3382 70.92
3423.1 9278 -57.728 93.358 1.994 67.730 2.822 1.229 1.862 2361 1243 1802 -1.415 0.7124 -0.3513 70.92
3433.1 9278 -58.475 93.827 1.975 67.360 2.819 1.229 1.861 2386 1230 1808 -1.435 0.7063 -0.3643 70.92
3443.1 9278 -59.222 94.302 1.955 66.991 2.815 1.23 1.861 2411 1216 1814 -1.454 0.6998 -0.3772 70.92
3453.1 9278 -59.969 94.781 1.936 66.624 2.812 1.231 1.86 2436 1203 1820 -1.473 0.693 -0.39 70.92
3463.1 9278 -60.717 95.264 1.916 66.259 2.81 1.232 1.86 2461 1191 1826 -1.491 0.686 -0.4027 70.92
3473.1 9278 -61.464 95.752 1.896 65.897 2.807 1.232 1.86 2487 1178 1832 -1.51 0.6787 -0.4154 70.92
3483.1 9278 -62.212 96.243 1.877 65.536 2.805 1.233 1.859 2513 1165 1839 -1.527 0.6711 -0.4281 70.92
3493.1 9278 -62.959 96.739 1.857 65.178 2.803 1.234 1.859 2539 1152 1846 -1.545 0.6633 -0.4407 70.92
3503.1 9278 -63.706 97.238 1.838 64.823 2.801 1.234 1.859 2565 1140 1853 -1.562 0.6553 -0.4533 70.92
3513.1 9278 -64.453 97.741 1.818 64.470 2.8 1.235 1.859 2592 1128 1860 -1.579 0.647 -0.4658 70.92
